DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(mA),Voltage(V),Capacity(mAh),Spec. Cap.(mAh/g),Chg. Cap.(mAh),DChg. Cap.(mAh),DChg. Spec. Cap.(mAh/g),Accumulated capacity(mAh),Energy(mWh),Date,Power(mW),
1,1,1,Rest,00:00:00.000,00:00:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:40:57,0.0,
2,1,1,Rest,00:00:30.000,00:00:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:41:27,0.0,
3,1,1,Rest,00:01:00.000,00:01:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:41:57,0.0,
4,1,1,Rest,00:01:30.000,00:01:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:42:27,0.0,
5,1,1,Rest,00:02:00.000,00:02:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:42:57,0.0,
6,1,1,Rest,00:02:30.000,00:02:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:43:27,0.0,
7,1,1,Rest,00:03:00.000,00:03:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:43:57,0.0,
8,1,1,Rest,00:03:30.000,00:03:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:44:27,0.0,
9,1,1,Rest,00:04:00.000,00:04:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:44:57,0.0,
10,1,1,Rest,00:04:30.000,00:04:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:45:27,0.0,
11,1,1,Rest,00:05:00.000,00:05:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:45:57,0.0,
12,1,1,Rest,00:05:30.000,00:05:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:46:27,0.0,
13,1,1,Rest,00:06:00.000,00:06:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:46:57,0.0,
14,1,1,Rest,00:06:30.000,00:06:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:47:27,0.0,
15,1,1,Rest,00:07:00.000,00:07:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:47:57,0.0,
16,1,1,Rest,00:07:30.000,00:07:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:48:27,0.0,
17,1,1,Rest,00:08:00.000,00:08:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:48:57,0.0,
18,1,1,Rest,00:08:30.000,00:08:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:49:27,0.0,
19,1,1,Rest,00:09:00.000,00:09:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:49:57,0.0,
20,1,1,Rest,00:09:30.000,00:09:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:50:27,0.0,
21,1,1,Rest,00:10:00.000,00:10:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:50:57,0.0,
22,1,1,Rest,00:10:30.000,00:10:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:51:27,0.0,
23,1,1,Rest,00:11:00.000,00:11:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:51:57,0.0,
24,1,1,Rest,00:11:30.000,00:11:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:52:27,0.0,
25,1,1,Rest,00:12:00.000,00:12:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:52:57,0.0,
26,1,1,Rest,00:12:30.000,00:12:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:53:27,0.0,
27,1,1,Rest,00:13:00.000,00:13:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:53:57,0.0,
28,1,1,Rest,00:13:30.000,00:13:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:54:27,0.0,
29,1,1,Rest,00:14:00.000,00:14:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:54:57,0.0,
30,1,1,Rest,00:14:30.000,00:14:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:55:27,0.0,
31,1,1,Rest,00:15:00.000,00:15:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:55:57,0.0,
32,1,1,Rest,00:15:30.000,00:15:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:56:27,0.0,
33,1,1,Rest,00:16:00.000,00:16:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:56:57,0.0,
34,1,1,Rest,00:16:30.000,00:16:30.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:57:27,0.0,
35,1,1,Rest,00:17:00.000,00:17:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:57:57,0.0,
36,1,1,Rest,00:17:30.000,00:17:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:58:27,0.0,
37,1,1,Rest,00:18:00.000,00:18:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:58:57,0.0,
38,1,1,Rest,00:18:30.000,00:18:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:59:27,0.0,
39,1,1,Rest,00:19:00.000,00:19:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 19:59:57,0.0,
40,1,1,Rest,00:19:30.000,00:19:30.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:00:27,0.0,
41,1,1,Rest,00:20:00.000,00:20:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:00:57,0.0,
42,1,1,Rest,00:20:30.000,00:20:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:01:27,0.0,
43,1,1,Rest,00:21:00.000,00:21:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:01:57,0.0,
44,1,1,Rest,00:21:30.000,00:21:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:02:27,0.0,
45,1,1,Rest,00:22:00.000,00:22:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:02:57,0.0,
46,1,1,Rest,00:22:30.000,00:22:30.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:03:27,0.0,
47,1,1,Rest,00:23:00.000,00:23:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:03:57,0.0,
48,1,1,Rest,00:23:30.000,00:23:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:04:27,0.0,
49,1,1,Rest,00:24:00.000,00:24:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:04:57,0.0,
50,1,1,Rest,00:24:30.000,00:24:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:05:27,0.0,
51,1,1,Rest,00:25:00.000,00:25:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:05:57,0.0,
52,1,1,Rest,00:25:30.000,00:25:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:06:27,0.0,
53,1,1,Rest,00:26:00.000,00:26:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:06:57,0.0,
54,1,1,Rest,00:26:30.000,00:26:30.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:07:27,0.0,
55,1,1,Rest,00:27:00.000,00:27:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:07:57,0.0,
56,1,1,Rest,00:27:30.000,00:27:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:08:27,0.0,
57,1,1,Rest,00:28:00.000,00:28:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:08:57,0.0,
58,1,1,Rest,00:28:30.000,00:28:30.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:09:27,0.0,
59,1,1,Rest,00:29:00.000,00:29:00.000,0.0,4.0734,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:09:57,0.0,
60,1,1,Rest,00:29:30.000,00:29:30.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:10:27,0.0,
61,1,1,Rest,00:30:00.000,00:30:00.000,0.0,4.0735,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:10:57,0.0,
62,1,2,CCCV DChg,00:00:00.000,00:30:00.000,-0.2,4.0658,0,0.00,0.0,0.0,0.00,0.0,0.0,2025-02-26 20:10:57,-1.0,
63,1,2,CCCV DChg,00:00:30.000,00:30:30.000,-0.2,4.0582,0.00208329,0.09,0.0,0.0,0.09,0.0,0.0,2025-02-26 20:11:27,-1.0,
64,1,2,CCCV DChg,00:01:00.000,00:31:00.000,-0.2,4.0543,0.00416661,0.17,0.0,0.0,0.17,0.0,0.0,2025-02-26 20:11:57,-1.0,
